centrality,strength,degree,ID,yr,mnth,path,spatthresh,tempthresh
0.133909700586379,0,0,D,2016,11,input/locs-b.csv,50,10 minutes
0.771999380913158,0.361558029147426,5,E,2016,11,input/locs-b.csv,50,10 minutes
0.0491043506504646,0.0183875530410184,1,F,2016,11,input/locs-b.csv,50,10 minutes
0.0745068902464257,0.300578321728669,6,G,2016,11,input/locs-b.csv,50,10 minutes
0.721870267544948,0.329113414495562,5,H,2016,11,input/locs-b.csv,50,10 minutes
1,0.461228734393363,6,I,2016,11,input/locs-b.csv,50,10 minutes
0.0552399049429361,0.0199430199430199,1,J,2016,11,input/locs-b.csv,50,10 minutes
0,0.636224814567063,6,A,2016,12,input/locs-b.csv,50,10 minutes
1,0.728337236533958,1,B,2016,12,input/locs-b.csv,50,10 minutes
0,0.469111197911574,6,C,2016,12,input/locs-b.csv,50,10 minutes
5.43485502106472e-05,0,0,D,2016,12,input/locs-b.csv,50,10 minutes
0,0.568674709730605,6,E,2016,12,input/locs-b.csv,50,10 minutes
0,0.486037152372688,6,F,2016,12,input/locs-b.csv,50,10 minutes
0.999999505793882,0.728337236533958,1,G,2016,12,input/locs-b.csv,50,10 minutes
0,0.590021615910649,6,H,2016,12,input/locs-b.csv,50,10 minutes
0,0.70529098616241,6,I,2016,12,input/locs-b.csv,50,10 minutes
0,0.343304677387364,6,J,2016,12,input/locs-b.csv,50,10 minutes
1,1.58790023666742,8,A,2017,1,input/locs-a.csv,50,10 minutes
0.781674475193091,1.23750734301639,7,B,2017,1,input/locs-a.csv,50,10 minutes
0.962583015716273,1.4501623096724,8,C,2017,1,input/locs-a.csv,50,10 minutes
0.0779712633624184,0,0,D,2017,1,input/locs-a.csv,50,10 minutes
0.943743548666755,1.43338156924341,8,E,2017,1,input/locs-a.csv,50,10 minutes
0.997521718397467,1.54388117403492,8,F,2017,1,input/locs-a.csv,50,10 minutes
0.790040421845429,1.2588554381789,7,G,2017,1,input/locs-a.csv,50,10 minutes
0.126512045056474,0.188956231646332,6,H,2017,1,input/locs-a.csv,50,10 minutes
0.912146982277962,1.45433547508085,8,I,2017,1,input/locs-a.csv,50,10 minutes
0.392052619237963,0.572631645849883,8,J,2017,1,input/locs-a.csv,50,10 minutes
0.987200019574293,0.999132092898417,4,A,2017,2,input/locs-a.csv,50,10 minutes
0.070875152890917,0.767996780734614,4,B,2017,2,input/locs-a.csv,50,10 minutes
1,1.02670530799883,4,C,2017,2,input/locs-a.csv,50,10 minutes
0.566151318410606,0,0,D,2017,2,input/locs-a.csv,50,10 minutes
0.119753554666282,0.428405718659748,6,E,2017,2,input/locs-a.csv,50,10 minutes
0.856297720316708,0.872249683431282,3,F,2017,2,input/locs-a.csv,50,10 minutes
0.0663548069144336,0.501005131321552,4,G,2017,2,input/locs-a.csv,50,10 minutes
0.0617840701229058,0.132863673902784,4,H,2017,2,input/locs-a.csv,50,10 minutes
0.881074520467904,0.909586237751834,3,I,2017,2,input/locs-a.csv,50,10 minutes
0.0694026912889252,0.650707535817607,4,J,2017,2,input/locs-a.csv,50,10 minutes
0.971458039027183,0.53819055576551,6,A,2016,11,input/locs-b.csv,100,10 minutes
0.0430477457933326,0.350844277673546,1,B,2016,11,input/locs-b.csv,100,10 minutes
0.452139950934615,0.218772542207763,5,C,2016,11,input/locs-b.csv,100,10 minutes
0.138708391764482,0,0,D,2016,11,input/locs-b.csv,100,10 minutes
0.542783831374711,0.421567565320047,5,E,2016,11,input/locs-b.csv,100,10 minutes
0.0415937169878507,0.0198300283286119,1,F,2016,11,input/locs-b.csv,100,10 minutes
0.0571112897324927,0.367604081453289,6,G,2016,11,input/locs-b.csv,100,10 minutes
0.496502948322735,0.384290704918727,5,H,2016,11,input/locs-b.csv,100,10 minutes
1,0.592893634329772,6,I,2016,11,input/locs-b.csv,100,10 minutes
0.0430835463047863,0.0199430199430199,1,J,2016,11,input/locs-b.csv,100,10 minutes
0.923713266629724,0.919389292736973,6,A,2016,12,input/locs-b.csv,100,10 minutes
0.0555951570989456,0.826732673267327,1,B,2016,12,input/locs-b.csv,100,10 minutes
0.744848683041715,0.709287064896464,6,C,2016,12,input/locs-b.csv,100,10 minutes
0.154454086280061,0,0,D,2016,12,input/locs-b.csv,100,10 minutes
0.872882586123789,0.81826759520942,6,E,2016,12,input/locs-b.csv,100,10 minutes
0.719060712258998,0.669976973829846,6,F,2016,12,input/locs-b.csv,100,10 minutes
0.0555931631194153,0.826732673267327,1,G,2016,12,input/locs-b.csv,100,10 minutes
0.942045723882694,0.91940162096337,6,H,2016,12,input/locs-b.csv,100,10 minutes
1,1.02523014338118,6,I,2016,12,input/locs-b.csv,100,10 minutes
0.616465862224513,0.566541563766329,6,J,2016,12,input/locs-b.csv,100,10 minutes
0.9781250472871,2.1242530872566,8,A,2017,1,input/locs-a.csv,100,10 minutes
0.695427371723678,1.59767559444406,7,B,2017,1,input/locs-a.csv,100,10 minutes
0.961104504638111,1.99546807094749,8,C,2017,1,input/locs-a.csv,100,10 minutes
0.0758907017045396,0,0,D,2017,1,input/locs-a.csv,100,10 minutes
0.987886149618036,2.07721168841189,8,E,2017,1,input/locs-a.csv,100,10 minutes
1,2.13665887651268,8,F,2017,1,input/locs-a.csv,100,10 minutes
0.684782334015785,1.57139891248078,7,G,2017,1,input/locs-a.csv,100,10 minutes
0.126811543136667,0.267482561401761,6,H,2017,1,input/locs-a.csv,100,10 minutes
0.895031730084371,1.9642059074721,8,I,2017,1,input/locs-a.csv,100,10 minutes
0.416951518544488,0.839678719829114,8,J,2017,1,input/locs-a.csv,100,10 minutes
1,1.33410654710501,4,A,2017,2,input/locs-a.csv,100,10 minutes
0.0590758560286989,1.15154129471246,4,B,2017,2,input/locs-a.csv,100,10 minutes
0.999661766653969,1.33539709426974,4,C,2017,2,input/locs-a.csv,100,10 minutes
0.535700777741424,0,0,D,2017,2,input/locs-a.csv,100,10 minutes
0.116133890297741,0.646740893916621,6,E,2017,2,input/locs-a.csv,100,10 minutes
0.967691910827133,1.29132501190982,3,F,2017,2,input/locs-a.csv,100,10 minutes
0.0585927177279497,0.761086086756168,4,G,2017,2,input/locs-a.csv,100,10 minutes
0.0621505487315952,0.207456997729657,4,H,2017,2,input/locs-a.csv,100,10 minutes
0.976645281114429,1.3105958289144,3,I,2017,2,input/locs-a.csv,100,10 minutes
0.0585287984929919,1.05467992929794,4,J,2017,2,input/locs-a.csv,100,10 minutes
0.965575227962771,0.409151078290964,6,A,2016,11,input/locs-b.csv,50,20 minutes
0.0590147357483514,0.288014311270125,1,B,2016,11,input/locs-b.csv,50,20 minutes
0.470501777267281,0.174554657921768,5,C,2016,11,input/locs-b.csv,50,20 minutes
0.133909706297233,0,0,D,2016,11,input/locs-b.csv,50,20 minutes
0.771999383628051,0.361558029147426,5,E,2016,11,input/locs-b.csv,50,20 minutes
0.0491043490447163,0.0183875530410184,1,F,2016,11,input/locs-b.csv,50,20 minutes
0.0745068817604727,0.300578321728669,6,G,2016,11,input/locs-b.csv,50,20 minutes
0.721870269394332,0.329113414495562,5,H,2016,11,input/locs-b.csv,50,20 minutes
1,0.461228734393363,6,I,2016,11,input/locs-b.csv,50,20 minutes
0.0552398977639451,0.0199430199430199,1,J,2016,11,input/locs-b.csv,50,20 minutes
0,0.636224814567063,6,A,2016,12,input/locs-b.csv,50,20 minutes
0.999999888021281,0.728337236533958,1,B,2016,12,input/locs-b.csv,50,20 minutes
0,0.469111197911574,6,C,2016,12,input/locs-b.csv,50,20 minutes
5.43320348730061e-05,0,0,D,2016,12,input/locs-b.csv,50,20 minutes
0,0.568674709730605,6,E,2016,12,input/locs-b.csv,50,20 minutes
0,0.486037152372688,6,F,2016,12,input/locs-b.csv,50,20 minutes
1,0.728337236533958,1,G,2016,12,input/locs-b.csv,50,20 minutes
0,0.590021615910649,6,H,2016,12,input/locs-b.csv,50,20 minutes
0,0.70529098616241,6,I,2016,12,input/locs-b.csv,50,20 minutes
0,0.343304677387364,6,J,2016,12,input/locs-b.csv,50,20 minutes
1,1.58790023666742,8,A,2017,1,input/locs-a.csv,50,20 minutes
0.781674460599769,1.23750734301639,7,B,2017,1,input/locs-a.csv,50,20 minutes
0.962583001963433,1.4501623096724,8,C,2017,1,input/locs-a.csv,50,20 minutes
0.0779712612371583,0,0,D,2017,1,input/locs-a.csv,50,20 minutes
0.943743534842442,1.43338156924341,8,E,2017,1,input/locs-a.csv,50,20 minutes
0.997521707256302,1.54388117403492,8,F,2017,1,input/locs-a.csv,50,20 minutes
0.79004040736916,1.2588554381789,7,G,2017,1,input/locs-a.csv,50,20 minutes
0.126512029933542,0.188956231646332,6,H,2017,1,input/locs-a.csv,50,20 minutes
0.912146973862855,1.45433547508085,8,I,2017,1,input/locs-a.csv,50,20 minutes
0.392052589813507,0.572631645849883,8,J,2017,1,input/locs-a.csv,50,20 minutes
